16:59:06.977112314 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.993780954 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.010478068 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.027116424 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.043780661 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.060449749 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.077107415 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.093785007 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.110450177 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.127148344 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.143785708 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.160452041 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.177118163 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.193786971 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:07.210456206 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
